puntaje adjetivo adjetiva significado(inglés)
10 alto | alta |   tall/high
3 genial | - |  brilliant, inspired
3 honesto | honesta |  honest 
3 humilde | - |  humble, modest
3 igual | - |  equal, same (as)
3 indiferente | - |   	indifferent 
3 intenso | intensa |  intense, acute
3 libre | - |  free, vacant
3 liso | lisa |  smooth, flat, straight
3 maravilloso | maravillosa |  wonderful, marvelous
3 mejor | - |  best, better
3 menor | - |  younger, youngest
3 modesto | modesta |  modest, humble
3 mojado | mojada |  wet
3 moreno | morena |   tanned or “brown-haired”
3 musical | - |  musical
3 nacional | - | 	national
3 natural | - |  natural
3 necesario | necesaria |  necessary
3 negativo | negativa |  negative, pessimistic
3 orgulloso | orgullosa |  proud, arrogant
3 peor | - |  worse, worst
3 pleno | plena |  complete / full
3 poco | poca |  cuidadoso careless
3 preocupado | preocupada |  worried, concerned
3 principal | - |  main, principal
3 prudente | - |  sensible, prudent
3 próximo | próxima | 	next
3 querido | querida |  dear/beloved
3 real | - |  royal, real, authentic
3 redondo | redonda |  round
3 refinado | refinada |  refined 
3 religioso | religiosa | 	religious
3 robusto | robusta |  strong, robust, sturdy
3 rubio | rubia |  blonde, fair
3 ruidoso | ruidosa |  noisy
3 sabio | sabia |  wise, learned
3 sabroso | sabrosa |  delicious, tasty
3 salvaje | - |  wild, savage, uncultivated
3 segundo | segunda | -
3 sensible | - |  sensitive, sentient
3 social | - |  social
3 solitario | solitaria |  solitary, lonely
3 soso | - |  dull, boring 
3 superficial | - |  shallow
3 temprano | temprana |  early
3 tibio | tibia |   warm/tepid
3 tradicional | - | 	traditional
3 travieso | - |   mischievous
3 vago | vaga |  vague
3 ácido | - |   acidic
2 absoluto | absoluta | 	absolute
2 abundante | - |  abundant, plentiful
2 adecuado | adecuada |  adequate, suitable
2 agotado | agotada |  tired, used up, sold out
2 agresivo | agresiva |  aggressive 
2 agrio | agria |  sour
2 agudo | aguda |  sharp, acute
2 alemán | - | 	german
2 amistoso | amistosa |  friendly 
2 animado | animada |  excited, lively
2 ansioso | ansiosa |  anxious, eager
2 anterior | - |  previous, preceding
2 antipático | - |   unfriendly
2 anual | - |  annual, yearly
2 aquel | - | -
2 armado | armada | 	armed
2 arrugado | - | 
2 asado | - |  roasted/barbecued
2 asustado | asustada |  scared, frightened
2 aterciopelado | - |   velvety
2 atrevido | - | 
2 audaz | - |  audacious, bold
2 azulado | - | 
2 brusco | brusca |  brusque, abrupt, sudden
2 básico | básica |  basic, essential
2 callado | callada |  quiet, reserved
2 caprichoso | caprichosa |  capricious/whimsical
2 casado | casada | -
2 cauteloso | - |   cautious
2 celeste | - | -
2 cerca | - |  near
2 chiflado | - |  crazy/unbalanced
2 chileno | chilena | -
2 ciego | ciega |  blind
2 cierto | cierta |  certain, sure, true
2 civil | - |  civil
2 clásico | clásica | 	classic
2 cobarde | - |   cowardly 
2 colectivo | colectiva |  collective, joint
2 colombiano | colombiana | 	colombian
2 colorido | - | 
2 comercial | - |  commercial, shopping
2 completo | completa | 	complete
2 comprensivo | comprensiva |  sympathetic (understanding) 
2 concreto | concreta |  concrete, real
2 conformista | - |   conformist 
2 congelado | congelada |  frozen
2 conservador | - |   conservative 
2 contemporáneo | contemporánea |  contemporary
2 contrario | contraria |  contrary, opposite
2 convencional | - |  conventional 
2 cotidiano | cotidiana |  daily
2 creativo | creativa |  creative 
2 crocante | - | 
2 cruel | - |  cruel, harsh
2 crítico | crítica |  critical 
2 cuadrado | cuadrada | -
2 cuarto | cuarta | -
2 cubano | cubana | 	cuban
2 culpable | - |  guilty 
2 cultural | - |  cultural
2 cálido | cálida |  warm
2 cómico | cómica |  funny/humerous
2 cómodo | cómoda | -
2 demasiado | demasiada |  too much, too many
2 democrático | democrática | 	democratic
2 deportivo | deportiva |  sports, sporty
2 derecho | derecha | -
2 desconocido | desconocida | -
2 desnudo | desnuda |  nude, naked
2 despacio | despacia |  slow, slowly
2 determinado | determinada |  determined, ﬁxed
2 dicho | dicha |  aforementioned, said
2 digno | digna |  de un rey
2 diplomático | diplomática |  diplomatic 
2 dispuesto | dispuesta |  willing, ready
2 diverso | diversa |  different, several, diverse
2 divino | divina |  divine
2 doble | - | 	double
2 doloroso | dolorosa |  painful
2 dorado | dorada |  golden, gold-plated
2 dudoso | dudosa |  doubtful, dubious
2 económico | económica | 	economic
2 educativo | educativa | 	educational
2 efectivo | efectiva | 	effective
2 electoral | - |  electoral
2 electrónico | electrónica | 	electronic
2 elocuente | - |  eloquent 
2 eléctrico | eléctrica | 	electric
2 embarazada | - |  pregnant
2 emocionado | emocionada |  excited
2 entusiasta | - |  enthusiastic
2 enérgico | enérgica |  energetic, vigorous
2 escaso | escasa |  scarce, very little
2 español | - | 	spanish
2 estatal | - |  state, government-owned
2 estricto | estricta |  strict, rigorous
2 estudioso | estudiosa |  studious
2 estéril | - |  sterile, barren
2 europeo | europea | 	european
2 evidente | - |  evident, obvious
2 exigente | - |  demanding, urgent
2 expresivo | expresiva | 	expressive  
2 exquisito | exquisita |  exquisite, superb
2 extranjero | extranjera |  foreign, alien
2 extraordinario | extraordinaria |  extraordinary, exceptional
2 extremo | extrema | -
2 exótico | exótica |  exotic
2 fascinante | - |  fascinating 
2 femenino | femenina |  feminine, female
2 feroz | - |  ferocious, fierce
2 financiero | financiera | 	financial
2 fiscal | - |  fiscal, treasury
2 flexible | - | -
2 flojo | floja |  	lazy
2 francés | - | 	french
2 frio | fria |  cold
2 fundamental | - |  fundamental
2 fértil | - |  fertile, rich
2 físico | física | 	physical
2 gaseoso | - |   fizzy
2 general | - |  general
2 gentil | - |   	gentle   
2 global | - |  global, overall
2 grave | - |  serious, solemn
2 gris | - | -
2 grotesco | grotesca |  grotesque, ridiculous
2 habitual | - |  usual, habitual, customary
2 histórico | histórica | 	historical
2 holgado | holgada |  loose/baggy
2 humano | humana | 	human
2 hábil | - |  skillful, clever
2 ignorante | - |  ignorant
2 impresionante | - |  impressive, astonishing
2 imprudente | - |   imprudent 
2 incómodo | incómoda | -
2 indirecto | indirecta | -
2 individual | - |  individual
2 indígena | - |  indigenous, native
2 infantil | - |  of children, childlike, infantile
2 infeliz | - | -
2 ingenioso | ingeniosa |  ingenious, clever
2 inicial | - | 	initial
2 inmediato | inmediata | 	immediate
2 inolvidable | - |  unforgettable
2 inquieto | inquieta |  restless, anxious
2 insensible | - | 
2 insípido | - |   soso
2 interior | - | -
2 internacional | - | 	international
2 interno | interna | 	internal
2 introvertido | - |   introverted 
2 izquierdo | izquierda | -
2 judicial | - |  judicial
2 jugoso | - |  juicy
2 junto | junta | 	together
2 justo | justa |  fair, just
2 laboral | - |  labor, industry
2 legal | - |  legal
2 lejano | lejana |  distant
2 lejos | - |  far
2 liberal | - |  liberal
2 lindo | linda | -
2 literario | literaria | 	literary
2 llano | llana |  flat, level, plain
2 local | - |  local
2 líquido | - |   runny
2 magnífico | - |  superb
2 marrón | - |  brown
2 masivo | masiva | -
2 medio | media |  half, middle
2 melancólico | melancólica | 	melancholic 
2 mexicano | mexicana | 	mexican
2 militar | - |  military
2 mucho | mucha | -
2 muchos | - |  many
2 mudo | muda |  mute, silent
2 mundial | - | 	world-wide
2 municipal | - |  municipal, town
2 máximo | máxima | 	maximum
2 médico | médica |  medical
2 mínimo | mínima | 	minimum
2 móvil | - |  mobile
2 nervioso | nerviosa | -
2 no | - |  nevertheless
2 normal | - |  normal, usual, regular
2 numeroso | numerosa | 	numerous
2 ocupado | ocupada | -
2 opaco | opaca |  dull, opaque, heavy
2 ordenado | ordenada | -
2 ordinario | ordinaria |  vulgar, ordinary
2 original | - |  original
2 paciente | - | 
2 particular | - |  particular, peculiar
2 pegajoso | - |   sticky
2 peludo | peluda |   hairy
2 permanente | - | 	permanent
2 personal | - |  personal
2 petizo | petiza |  short
2 piadoso | piadosa |  devout, pious, merciful
2 pocos | - |  few
2 poderoso | poderosa |  powerful
2 político | política |  political, tactful
2 positivo | positiva | 	positive
2 precioso | preciosa |  beautiful, precious
2 presente | - |  present, current
2 presumido | - |   conceited, full of oneself 
2 previo | previa |  previous
2 primer | - | -
2 primero | primera | -
2 privado | privada | 	private
2 productivo | productiva |  productive, profitable
2 profesional | - | 	professional
2 propio | propia |  own, proper, typical
2 práctico | práctica |  practical, skillful
2 puntual | - |  punctual 
2 puro | pura |  pure, clean
2 pálido | pálida |  pale, ghastly, faded
2 público | pública | 	public
2 quebrado | - |  broken
2 quemado | quemada |  burned, burnt
2 quinto | quinta | -
2 realista | - |  realistic
2 rebelde | - |  rebellious 
2 reciente | - | 	recent
2 recto | recta | -
2 regional | - |  regional
2 reservado | reservada |  reserved, booked
2 responsable | - |  responsible 
2 riguroso | rigurosa |  rigorous, severe
2 romántico | romántica |  romantic 
2 rosado | rosada | -
2 roto | rota |  broken/torn
2 rudo | ruda |  rude, crude, coarse
2 rugoso | - |   rugged
2 rural | - |  rural, country
2 rígido | rígida | -
2 sanitario | sanitaria |  health, sanitary, clean
2 sedoso | - |   silky
2 sentimental | - |  sentimental
2 sexto | sexta | -
2 siguiente | - |  following, next
2 similar | - |  similar
2 sin | - |   saborizantes artificiales
2 soberbio | soberbia | -
2 solidario | solidaria |  united, jointly shared
2 soltero | soltera | -
2 sordo | sorda |  deaf, dull
2 sorprendente | - |  surprising, astonishing
2 sospechoso | sospechosa |  suspicious
2 suelto | suelta |  loose
2 superior | - |  superior, upper
2 séptimo | séptima | -
2 sólido | sólida |  solid, strong
2 tarde | - |  late
2 tecnológico | tecnológica |  technological
2 tenebroso | - | 
2 tenso | tensa |  tight, tense
2 tentador | - |   tantalizing
2 tercero | tercera | -
2 terco | terca | 	stubborn 
2 total | - |  total, entire
2 transparente | - | -
2 tu | - | -
2 técnico | técnica | 	technical
2 unido | unida | 	joined
2 universitario | universitaria |  university
2 urbano | urbana |  urban, city, urbane
2 usado | usada |  worn out, old, used
2 veloz | - |  fast, quick
2 vigente | - |  in force, valid
2 vuestro | vuestra | -
2 vulgar | - |  vulgar, common, banal
2 ágil | - |  agile
2 último | última |  last, ﬁnal
2 único | única |  only, unique, sole
1 abandonado | abandonada | -
1 abrumador | - |  	overwhelming 
1 abrurrido | abrurrida | 	boring
1 abstracto | abstracta | -
1 absurdo | absurda | -
1 académico | académica | -
1 accesible | - | -
1 aceitoso | - |  oily
1 acelerado | acelerada | -
1 aceptable | - | -
1 acertado | acertada | -
1 acomodado | acomodada | -
1 acostumbrado | acostumbrada | -
1 acre | - |  acrid
1 acuoso | - |  watery
1 adherente | - | 
1 adicional | - | -
1 administrativo | administrativa | -
1 admirable | - | -
1 adolescente | - | -
1 adorable | - | 
1 adulto | adulta | -
1 afectuoso | - |  affectionate 
1 africano | africana | -
1 afín | - | -
1 agitado | agitada | -
1 agradecido | agradecida | -
1 agrario | agraria | -
1 agridulce | - |   sweet-and-sour
1 agrícola | - | -
1 ahumado | - |  smokey
1 aislado | aislada | -
1 ajedrea | - |  savory
1 ajeno | ajena | -
1 ajoso | - |  garlicky
1 al | - | -
1 alarmante | - | -
1 alegres | - | -
1 alejado | alejada | -
1 alguno | alguna | -
1 almibarado | - |  syrupy
1 altanero | - | 
1 alternativo | alternativa | -
1 altísimo | altísima | -
1 amarillento | - | -
1 ambiental | - | 	environmental
1 ambiguo | ambigua | -
1 ambivalente | - | 
1 ambos | - | -
1 ambrosíaco | - |  ambrosial
1 ambulante | - | -
1 amenazado | amenazada | -
1 amenazador | - | 
1 americano | americana | -
1 amoroso | amorosa | -
1 analfabeto | - |  illiterate
1 analítico | - | 
1 anaranjado | - | -
1 anciano | anciana | -
1 andaluz | - | -
1 angosto | - | -
1 angustiado | angustiada | -
1 angustioso | angustiosa | -
1 anormal | - | -
1 ansiado | - | -
1 answer | - |  hint
1 antiguos | - | -
1 anónimo | anónima | -
1 apacible | - |  gentle/mild
1 apagable | - |  extinguishable
1 apagado | apagada | -
1 aparente | - | -
1 apasionado | apasionada | -
1 apetitoso | - |  appetizing
1 aplastado | aplastada | -
1 aplicado | aplicada | -
1 apropiado | apropiada | -
1 apto | apta | -
1 apático | - | 
1 aquellos | - | -
1 arbitrario | arbitraria | -
1 arenoso | - |  gritty
1 arriesgado | - | 
1 arrogante | - |  arrogant 
1 artiﬁcial | - | -
1 asequible | - |  affordable
1 asombrado | asombrada | -
1 astropeado | - |  broken
1 astuto | - | 
1 atemorizante | - | 
1 atento | atenta | -
1 atlético | - |  fit 
1 atrapado | atrapada | -
1 atrasado | atrasada | -
1 atroz | - | -
1 ausente | - | -
1 automático | automática | -
1 autoritario | autoritaria | -
1 autorizado | autorizada | -
1 auténtico | auténtica | -
1 autónomo | autónoma | -
1 auxiliar | - | -
1 avanzado | avanzada | -
1 aventurero | - |  adventurous 
1 azucarado | - |  sugary
1 aéreo | aérea | -
1 bajísimo | - | -
1 bancario | bancaria | -
1 bastante | - | -
1 bellos | - | -
1 bendito | bendita | -
1 biológico | biológica | -
1 blandengue | - | 
1 bondadoso | - |  kind 
1 borracho | - |  drunk
1 brasileño | brasileña | -
1 bravo | brava | -
1 breve | - | -
1 brilliant | - | 
1 británico | británica | -
1 brutal | - | -
1 buen | - | -
1 bárbaro | bárbara | -
1 bélico | bélica | -
1 bíblico | bíblica | -
1 cabezón | - |  stubborn/big-headed
1 cada | - | -
1 callejero | callejera | -
1 calvo | calva |  bald
1 campesino | campesina | -
1 característico | característica | -
1 carente | - | -
1 caritativo | - | 
1 carnoso | - |  meaty
1 cascarrabias | - |  cantankerous 
1 caseoso | - |  cheesy
1 casero | casera | -
1 castaño | - | 
1 castellano | castellana | -
1 catalán | - | -
1 católico | católica | -
1 cauto | - |  cautious
1 caído | caída | -
1 celestial | - |  heavenly
1 cerebral | - | -
1 chamuscado | - |  seared
1 chino | china | -
1 chiquito | - | -
1 chistoso | - |  funny/comical
1 chocolaty | - | 
1 chueco | - |  crooked
1 chulo | - |  pert/droll
1 chungo | - | -
1 científico | - | 	scientific
1 cientíﬁco | cientíﬁca | -
1 cilíndrico | - |  cylindrical
1 cinco | - | -
1 circular | - | -
1 ciudadano | ciudadana | -
1 civilizado | civilizada | -
1 clandestino | clandestina | -
1 clave | - | -
1 clínico | clínica | -
1 cochino | - |  nasty/filthy
1 coherente | - | -
1 colgado | colgada | -
1 colonial | - | -
1 colorado | colorada | -
1 colérico | - | 
1 combinado | combinada | -
1 comestible | - |  edible
1 compacto | compacta | -
1 comparable | - | -
1 complejos | - | -
1 complementario | complementaria | -
1 complicados | - | -
1 comprensible | - | -
1 comprometido | comprometida | -
1 compuesto | compuesta | -
1 comunista | - | -
1 comunitario | comunitaria | -
1 con | - |   sabor de cebollas
1 condicionado | condicionada | -
1 confiable | - |  	reliable 
1 conforme | - | -
1 confundido | confundida | -
1 confuso | confusa | -
1 consagrado | consagrada | -
1 consciente | - | -
1 consecuente | - | 
1 considerable | - | -
1 considerado | - | 
1 consiguiente | - | -
1 constante | - | -
1 constitucional | - | -
1 constructivo | constructiva | -
1 continuo | continua | -
1 contradictorio | contradictoria | -
1 contundente | - | -
1 convencido | convencida | -
1 conveniente | - | -
1 conversador | - |  talkative  
1 convincente | - | -
1 coqueta | - |  flirtatious 
1 corajudo | - |  irritable
1 cordial | - | -
1 corporal | - | -
1 correoso | - |  chewy
1 correspondiente | - | -
1 corriente | - | -
1 cortés | - |  polite 
1 costoso | costosa | -
1 creciente | - | -
1 cremoso | - |  creamy
1 creído | - |  conceited
1 criminal | - | -
1 cristiano | cristiana | -
1 crujiente | - |   crunchy
1 crónico | crónica | -
1 cuanto | cuanta | -
1 cubierto | cubierta | -
1 cultos | - | -
1 cursi | - |  	cheesy 
1 cuyo | cuya | -
1 cuánto | cuánta | -
1 célebre | - | -
1 cítrico | - |  citrusy
1 dado | dada | -
1 de | - |   chuparse los dedos
1 debido | debida | -
1 decadente | - | 
1 decente | - | -
1 decidido | decidida | -
1 decisivo | decisiva | -
1 defensivo | defensiva | -
1 definitivo | - | 	definitive
1 demás | - | -
1 denso | densa | -
1 dependiente | - |  	dependent 
1 deprimente | - |  depressing 
1 deprimido | - |  depressed
1 desanimado | - | 
1 desaparecido | desaparecida | -
1 desarrollado | desarrollada | -
1 descalzo | descalza | -
1 desconcertado | desconcertada | -
1 desconfiado | - |  distrustful 
1 desconsiderado | - | 
1 descortés | - |  rude 
1 descuidado | - |  careless 
1 deseable | - | -
1 desesperado | desesperada | -
1 deshonesto | - | -
1 desierto | desierta | -
1 desigual | - | -
1 desmoronadizo | - |  crumbly
1 desordenado | desordenada | -
1 desorganizado | - |  disorganized 
1 despierto | despierta | -
1 despistado | - |  absent-minded
1 despreocupado | - |  carefree 
1 destacado | destacada | -
1 destruido | destruida | -
1 desvaído | - |  faded (colour)
1 detallado | detallada | -
1 deteriorado | - | -
1 deﬁnido | deﬁnida | -
1 deﬁnitivo | deﬁnitiva | -
1 diario | diaria | -
1 dichoso | dichosa | -
1 diez | - | -
1 digital | - | 	
1 diligent | - |  e 
1 diligente | - | -
1 diminuto | diminuta | -
1 disciplinado | - | 
1 discreto | discreta | -
1 discutidor | - |  argumentative, quarrelsome 
1 disfrazado | disfrazada | -
1 disperso | dispersa | -
1 disponible | - | -
1 distante | - | -
1 distinguido | distinguida | -
1 dominante | - | -
1 doméstico | doméstica | -
1 dormido | dormida | -
1 dos | - | -
1 dotado | dotada | -
1 dramático | dramática | -
1 décimo | décima | -
1 dócil | - | 
1 eclesiástico | eclesiástica | -
1 eficiente | - | -
1 efímero | efímera | -
1 eggy | - | 
1 egocéntrico | - | 
1 ejecutivo | ejecutiva | -
1 ejemplar | - | -
1 el | - | -
1 elemental | - | -
1 elevado | elevada | -
1 embelesado | - |  spellbound/captivated
1 emocional | - | -
1 empapado | - |  soggy
1 en | - |  escamas
1 enamorado | enamorada | -
1 encantado | encantada | -
1 encargado | encargada | -
1 encendido | encendida | -
1 encerrado | encerrada | -
1 enfermizo | - | -
1 engreídas | - | -
1 engreído | - |  conceited
1 entendido | entendida | -
1 enterado | enterada | -
1 entero | entera | -
1 enterrado | enterrada | -
1 entrometido | - | -
1 entusiasmado | entusiasmada | -
1 envidioso | - |  envious 
1 envuelto | envuelta | -
1 equivalente | - | -
1 erótico | erótica | -
1 escolar | - | -
1 escondido | escondida | -
1 escurridizo | - | 
1 ese | - | -
1 esencial | - | -
1 esos | - | -
1 espacial | - | -
1 espantoso | espantosa | -
1 espectacular | - | -
1 específico | - | 	specific
1 especíﬁco | especíﬁca | -
1 espeluznante | - | 
1 esperanzador | - | 
1 espeso | espesa | -
1 espiritual | - | -
1 espléndido | espléndida | -
1 esponjoso | - |  spongy
1 esporádico | esporádica | -
1 estable | - | -
1 establecido | establecida | -
1 estadounidense | - | 	american
1 estadístico | estadística | -
1 este | - | -
1 estos | - | -
1 estratégico | estratégica | -
1 estresado | estresada |    	stressed 
1 estupefacto | - |  astonished
1 estático | estática | -
1 estético | estética | -
1 eterno | eterna | -
1 evitable | - |  avoidable
1 exacto | exacta | -
1 exagerado | exagerada | -
1 excepcional | - | -
1 excesivo | excesiva | -
1 exclusivo | exclusiva | -
1 excéntrico | - |  eccentric 
1 exento | exenta | -
1 existente | - | -
1 experimental | - | -
1 explícito | explícita | -
1 expreso | expresa | -
1 extenso | extensa | -
1 externo | externa | -
1 extra | - | -
1 extreme | - |  adjectives 
1 eﬁcaz | - | -
1 fabuloso | fabulosa | -
1 fatal | - | -
1 favorable | - | -
1 favorito | favorita | -
1 fecundo | - | 
1 federal | - | 	
1 felíz | - | -
1 fibroso | - |  stringy
1 fiel | - |  faithful 
1 fijo | - |  fixed
1 filoso | - |  sharp
1 firme | - | 
1 fishy | - | 
1 fit | - |  for a king
1 flakey | - | 
1 flat | - |  sin efervescencia
1 formal | - | -
1 formidable | - | -
1 fotográfico | fotográfica | -
1 franco | franca | -
1 frecuente | - | -
1 frente | - | -
1 frito | - |  fried
1 frontal | - | -
1 fruity | - |  
1 frustrado | frustrada | -
1 frívolo | frívola | -
1 fuera | - |  de este mundo
1 fugaz | - | -
1 full | - | 
1 funcional | - | -
1 furioso | furiosa | -
1 futuro | futura | -
1 gamey | - | 
1 gelatinoso | - |  gelatinous
1 generosos | - | -
1 genético | genética | -
1 geográfico | geográfica | -
1 geométrico | geométrica | -
1 gigante | - | -
1 gigantesco | gigantesca | -
1 gingery | - | 
1 glaseado | - |  glazed
1 glorioso | gloriosa | -
1 gomoso | - |  rubbery
1 gran | - | -
1 grandes | - | -
1 grandioso | grandiosa | -
1 granoso | - |  grainy
1 grasiento | - |  greasy
1 graso | - |  fatty
1 grato | grata | -
1 gratuito | gratuita | -
1 gredoso | - |  chalky
1 greñudo | - |  having matted hair
1 griego | griega | -
1 gruñón | - |  cantankerous 
1 gráfico | gráfica | -
1 guay | - | -
1 guerrero | guerrera | -
1 hablador | - |  talkative  
1 harto | harta | -
1 herbario | - |  herbal
1 herido | herida | -
1 heroico | heroica | -
1 hervido | - |  boiled
1 hinchado | - |  swollen
1 hispano | hispana | -
1 holandés | - | -
1 hondo | honda | -
1 honrado | honrada | -
1 horizontal | - | -
1 hostil | - | -
1 hueco | hueca | -
1 hundido | hundida | -
1 ideal | - | -
1 idealista | - |  idealistic 
1 ideológico | ideológica | -
1 idéntico | idéntica | -
1 ilegal | - | -
1 ilimitado | ilimitada | -
1 iluminado | iluminada | -
1 ilumindado | - |  enlightened 
1 ilustrado | ilustrada | -
1 ilustre | - | -
1 imaginario | imaginaria | -
1 imaginativo | - |  imaginative 
1 impaciente | - |  	impatient 
1 impecable | - | -
1 imperfecto | - | -
1 imperial | - | -
1 implacable | - | -
1 imponente | - | -
1 importado | importada | -
1 impreciso | imprecisa | -
1 imprescindible | - | -
